Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Skills,Job Location,Company Name
2653654307,2017-01-12,Software Engineer,Senior Software Engineer,"['node', 'docker', 'frontend', 'vue', 'redis', 'aws', 'postgres']","Houston, TX",Lob
2591533104,2017-01-12,Software Engineer,Software Engineer,"['cloud', 'javascript', 'agile', 'python', 'server', 'back-end', 'frontend', 'backend', 'aws', 'sql', 'ai', 'excel', 'splunk']","Portland, OR",Momentive.ai
2728727787,2017-01-12,Software Engineer,Optical Software Engineer,"['r', 'c++', 'java', 'python', 'programming', 'matlab']",United States,W3Global
2691338334,2017-01-12,Data Analyst,Data Analyst,"['database', 'sql', 'go', 'excel']","Woburn, MA",Optum
2686301029,2017-01-12,Software Engineer,Remote Front End Software Engineer,"['backend', 'aws', 'agile', 'jira']","Columbus, OH",jobfuture.ai
2682982847,2017-01-12,Data Scientist,Data Scientist,[],"Everett, WA",Toptal
2718023033,2017-01-12,Software Engineer,Software Engineer,"['cloud', 'javascript', 'agile', 'asp.net', 'server', 'git', 'scrum', 'json', 'css', 'devops', 'c', 'microsoft', 'html', 'sql', 'apache', 'azure', 'coding', 'powerbi']","Richland, WA",Pacific Northwest National Laboratory
2749967765,2017-01-12,Data Engineer,Tip: Senior Data Engineer,"['saas', 'agile/scrum', 'aws', 'agile', 'python', 'postgresql', 'sql']","Columbia, SC",Upwork
2741476532,2017-01-13,Data Engineer,Full Time Remote Data Engineering Opportunity,"['github', 'back-end', 'scrum', 'agile', 'programming', 'etl', 'jira', 'sql', 'devops', 'spark']",United States,Dice
2718978242,2017-01-13,Software Engineer,Support Software Engineer,"['redis', 'saas', 'aws', 'ruby', 'postgres']","Los Angeles, CA",Recruiting from Scratch
2746215151,2017-01-13,Data Analyst,Data Analyst,['excel'],United States,Businessolver
2642448603,2017-01-13,Software Engineer,Senior Software Engineer,"['scrum', 'cloud', 'java', 'css', 'javascript', 'html', 'programming', 'apache', 'server', 'azure', 'c']","Missouri, United States",Blackbaud
2735172561,2017-01-13,Analytics Engineer,Senior Analytics Engineer,"['warehousing', 'pandas', 'ci/cd', 'airflow', 'python', 'redshift', 'etl', 'bigquery', 'looker', 'snowflake', 'sql']",United States,Electric
2748317481,2017-01-13,Business Analyst,"Principal, Business Analyst","['database', 'sql']","Anchorage, AK",Altimeter Solutions
2675370359,2017-01-13,Product Manager,"Lead Product Manager, Ml Credit","['ml', 'machine_learning']","Richmond, VA",Affirm
2683712387,2017-01-13,Software Engineer,"Senior Software Engineer, Backend","['spark', 'nosql']","Detroit, MI",Affirm
2686809403,2017-01-14,Ux Researcher,Senior Ux Researcher,['go'],"Texas, United States",Upwork
2681704000,2017-01-14,Software Engineer,"Software Engineer, Foundation Platform","['backend', 'frontend', 'golang', 'kotlin', 'fullstack', 'aws', 'programming']",United States,Brex
2675048839,2017-01-14,Data Scientist,"Data Scientist, Experience Innovation","['database', 'cloud', 'hadoop', 'r', 't-sql', 'sas', 'redshift', 'tableau', 'snowflake', 'sql', 'ai', 'machine_learning', 'azure', 'spss', 'powerbi']","Maryland, United States",Genesys
2700061993,2017-01-14,Software Developer,Software Developer,"['cloud', 'agile', 'python', 'php', 'devops', 'backend', 'shell', 'aws', 'mysql', 'etl', 'sql', 'bash', 'postgres', 'js']","Franklin, TN",Quore
2755159669,2017-01-14,Data Warehouse Engineer,Data Warehouse Engineer,"['warehousing', 'database', 'etl']",Dallas-Fort Worth Metroplex,CVS Health
2681602252,2017-01-14,System Engineer,System Engineer Mid Level With Security Clearance,[],"Springfield, VA",ClearanceJobs
2686096698,2017-01-14,Software Engineer,"Principal Software Engineer, Full Stack","['cloud', 'java', 'sql', 'nosql', 'ai', 'machine_learning', 'scala']","Washington, DC",Dataminr
2687726591,2017-01-14,Software Engineer,Software Engineer,"['javascript', 'asp.net', 'visual_basic', 'json', 'css', 'devops', 'c', 'ci/cd', 'aws', 'html', 'xml', 'sql']","Atlanta, GA",Koch Industries
2726221675,2017-01-14,Quality Assurance Analyst,Remote Junior Quality Assurance Analyst,"['agile', 'jira']","Huntington Beach, CA",BeSmartee®
2673909086,2017-01-14,Software Engineer,"Software Engineer, Frontend","['javascript', 'vue.js', 'css', 'html', 'js']",United States,Blend
2676005094,2017-01-15,Systems Analyst,Principal Business Systems Analyst,"['oracle', 'cloud']",United States,Stripe
2722864972,2017-01-15,Data Scientist,Data Scientist,"['database', 'agile', 'python', 'r', 'programming', 'devops', 'spark', 'sas', 'aws', 'machine_learning', 'scala']","Madison, WI",Flexion Inc.
2690937433,2017-01-15,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","Las Vegas, NV",Toptal
2555819526,2017-01-15,Business Analyst,Senior Business Analyst,"['microsoft', 'powerbi']","San Francisco, CA",BPM LLP
2732749206,2017-01-15,Data Analyst,Sap Mdg Master Data Analyst,"['sap', 'database', 'warehousing']",United States,Teleflex
2695655682,2017-01-15,Machine Learning Engineer,Machine Learning Engineer,"['codebase', 'pyspark', 'python', 'ml', 'sql', 'pytorch', 'tensorflow', 'mlops', 'machine_learning']","New York, NY",Jobot
2680547927,2017-01-15,Software Engineer,Senior Software Engineer,"['cloud', 'python', 'linux', 'server', 'c', 'ubuntu']","Spokane, WA",Canonical
